Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,155
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),4.1
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,50
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),4.1
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,65
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),9.8
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,20
2020,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),2.1
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,235
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),6.9
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,45
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),6.5
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,30
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),6.3
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,100
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),8.4
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,55
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),9.6
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,30
2015,Douro-Dummer,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),4.3
2020,Douro-Dummer,Men+,Total - Persons in economic families,Total - Age,In poverty,70
2020,Douro-Dummer,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),2
2020,Douro-Dummer,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Persons in economic families,25 to 54 years,In poverty,15
2020,Douro-Dummer,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),1.3
2020,Douro-Dummer,Men+,Total - Persons in economic families,55 to 64 years,In poverty,25
2020,Douro-Dummer,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),4.6
2020,Douro-Dummer,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Persons in economic families,Total - Age,In poverty,145
2015,Douro-Dummer,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),4.7
2015,Douro-Dummer,Men+,Total - Persons in economic families,0 to 17 years,In poverty,45
2015,Douro-Dummer,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),6.5
2015,Douro-Dummer,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Persons in economic families,6 to 17 years,In poverty,30
2015,Douro-Dummer,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),6.3
2015,Douro-Dummer,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Persons in economic families,25 to 54 years,In poverty,40
2015,Douro-Dummer,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),3.9
2015,Douro-Dummer,Men+,Total - Persons in economic families,55 to 64 years,In poverty,50
2015,Douro-Dummer,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),10
2015,Douro-Dummer,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,85
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),22.4
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,30
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),26.1
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,40
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),32
2020,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,85
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),26.6
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,60
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),40
2015,Douro-Dummer,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
